GTP_Pixel Values,IOU Values,Filenames,type
"{""(107, 142, 35)"": ""180015"", ""(70, 130, 180)"": ""45930"", ""(128, 64, 128)"": ""93978"", ""(153, 153, 153)"": ""181"", ""(0, 0, 0)"": ""0"", ""(70, 70, 70)"": 0, ""(250, 170, 30)"": 0, ""(152, 251, 152)"": 0, ""(220, 220, 0)"": ""0"", ""(220, 20, 60)"": ""1842"", ""(0, 0, 142)"": ""10200"", ""(0, 60, 100)"": ""5"", ""(244, 35, 232)"": ""80"", ""(230, 150, 140)"": 0, ""(190, 153, 153)"": ""577"", ""(81, 0, 81)"": 0}","{""(107, 142, 35)"": 0.7627592635749243, ""(70, 130, 180)"": 0.8421033332111034, ""(128, 64, 128)"": 0.0, ""(153, 153, 153)"": 0.0, ""(0, 0, 0)"": 0.0, ""(70, 70, 70)"": 0.0, ""(250, 170, 30)"": 0.0, ""(152, 251, 152)"": 0.00104454358756462, ""(220, 220, 0)"": 0.0, ""(220, 20, 60)"": 0.0, ""(0, 0, 142)"": 0.0, ""(0, 60, 100)"": 0.005235602094240838, ""(244, 35, 232)"": 0.0, ""(230, 150, 140)"": 0.0, ""(190, 153, 153)"": 0.0, ""(81, 0, 81)"": 0.0}",000033_10.png,ovseg
"{""(70, 130, 180)"": ""71811"", ""(0, 0, 0)"": ""1271"", ""(153, 153, 153)"": ""6907"", ""(107, 142, 35)"": ""44279"", ""(220, 220, 0)"": 0, ""(250, 170, 30)"": ""7051"", ""(70, 70, 70)"": ""22278"", ""(0, 0, 142)"": ""13032"", ""(152, 251, 152)"": 0, ""(128, 64, 128)"": ""80833"", ""(230, 150, 140)"": 0, ""(244, 35, 232)"": ""9606"", ""(119, 11, 32)"": ""0"", ""(81, 0, 81)"": 0}","{""(70, 130, 180)"": 0.7963162155268965, ""(0, 0, 0)"": 0.006417931893289908, ""(153, 153, 153)"": 0.010621923786005447, ""(107, 142, 35)"": 0.3371498762116304, ""(220, 220, 0)"": 0.0, ""(250, 170, 30)"": 0.0, ""(70, 70, 70)"": 0.5807612095933263, ""(0, 0, 142)"": 0.022492525142701822, ""(152, 251, 152)"": 0.031498395457911624, ""(128, 64, 128)"": 0.0019466273907983232, ""(230, 150, 140)"": 0.009475735033652143, ""(244, 35, 232)"": 0.02911055654958094, ""(119, 11, 32)"": 0.0, ""(81, 0, 81)"": 0.0}",000034_10.png,ovseg
"{""(107, 142, 35)"": ""54093"", ""(70, 130, 180)"": ""46385"", ""(153, 153, 153)"": ""5255"", ""(220, 220, 0)"": ""6206"", ""(0, 0, 0)"": ""597"", ""(250, 170, 30)"": ""125"", ""(70, 70, 70)"": ""41"", ""(0, 0, 142)"": ""15884"", ""(128, 64, 128)"": ""133048"", ""(152, 251, 152)"": 0, ""(255, 0, 0)"": 0, ""(119, 11, 32)"": 0, ""(244, 35, 232)"": ""0""}","{""(107, 142, 35)"": 0.1456559119403187, ""(70, 130, 180)"": 0.00531933326402606, ""(153, 153, 153)"": 0.013136462954379924, ""(220, 220, 0)"": 0.0, ""(0, 0, 0)"": 0.0007767264510662336, ""(250, 170, 30)"": 0.0031302170283806345, ""(70, 70, 70)"": 0.0, ""(0, 0, 142)"": 0.0, ""(128, 64, 128)"": 0.0009759017332014782, ""(152, 251, 152)"": 0.2713569664390527, ""(255, 0, 0)"": 0.0, ""(119, 11, 32)"": 0.0, ""(244, 35, 232)"": 0.0}",000010_10.png,cseg
"{""(107, 142, 35)"": ""68898"", ""(70, 130, 180)"": ""45351"", ""(153, 153, 153)"": ""3442"", ""(220, 220, 0)"": ""6517"", ""(250, 170, 30)"": ""6460"", ""(70, 70, 70)"": ""0"", ""(0, 0, 142)"": ""20715"", ""(0, 0, 0)"": ""1335"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""3572"", ""(128, 64, 128)"": ""128017""}","{""(107, 142, 35)"": 0.1456051395542109, ""(70, 130, 180)"": 0.0004632608415905289, ""(153, 153, 153)"": 0.020532666373745227, ""(220, 220, 0)"": 0.006138882245076935, ""(250, 170, 30)"": 0.36891097024727315, ""(70, 70, 70)"": 0.0, ""(0, 0, 142)"": 0.0, ""(0, 0, 0)"": 0.005939123979213066, ""(152, 251, 152)"": 0.015334198973597972, ""(244, 35, 232)"": 0.00010294420424130121, ""(128, 64, 128)"": 0.035649870930973215}",000011_10.png,cseg
"{""(107, 142, 35)"": ""37496"", ""(70, 130, 180)"": ""47922"", ""(153, 153, 153)"": ""3655"", ""(220, 220, 0)"": ""3969"", ""(250, 170, 30)"": ""8529"", ""(70, 70, 70)"": ""0"", ""(0, 0, 0)"": ""176"", ""(152, 251, 152)"": 0, ""(128, 64, 128)"": ""123542"", ""(0, 0, 142)"": ""6673"", ""(244, 35, 232)"": ""1351""}","{""(107, 142, 35)"": 0.2355477704444812, ""(70, 130, 180)"": 0.0004549802841876852, ""(153, 153, 153)"": 0.28011955855303494, ""(220, 220, 0)"": 0.12403250028880589, ""(250, 170, 30)"": 0.013754451229212301, ""(70, 70, 70)"": 0.0, ""(0, 0, 0)"": 0.0, ""(152, 251, 152)"": 0.00020314880650076182, ""(128, 64, 128)"": 0.01803614238248118, ""(0, 0, 142)"": 0.0024342977235883977, ""(244, 35, 232)"": 0.0}",000012_10.png,cseg
"{""(107, 142, 35)"": ""4882"", ""(153, 153, 153)"": ""35"", ""(70, 130, 180)"": ""65826"", ""(220, 220, 0)"": ""945"", ""(0, 0, 0)"": ""864"", ""(250, 170, 30)"": 0, ""(70, 70, 70)"": ""9387"", ""(190, 153, 153)"": ""0"", ""(0, 60, 100)"": 0, ""(0, 0, 70)"": ""0"", ""(0, 0, 142)"": ""45057"", ""(152, 251, 152)"": 0, ""(220, 20, 60)"": ""0"", ""(128, 64, 128)"": ""123431"", ""(244, 35, 232)"": ""3083"", ""(119, 11, 32)"": ""2409"", ""(81, 0, 81)"": 0}","{""(107, 142, 35)"": 0.09746024151000415, ""(153, 153, 153)"": 0.055400527380251405, ""(70, 130, 180)"": 0.9031116233124794, ""(220, 220, 0)"": 0.1634980988593156, ""(0, 0, 0)"": 0.004565491183879093, ""(250, 170, 30)"": 0.0, ""(70, 70, 70)"": 0.02880551962052609, ""(190, 153, 153)"": 0.0, ""(0, 60, 100)"": 0.002972972972972973, ""(0, 0, 70)"": 0.0, ""(0, 0, 142)"": 0.002533422533203189, ""(152, 251, 152)"": 0.06717687074829932, ""(220, 20, 60)"": 0.05096627510420614, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0, ""(119, 11, 32)"": 0.0, ""(81, 0, 81)"": 0.0}",000013_10.png,cseg
"{""(70, 130, 180)"": ""64055"", ""(107, 142, 35)"": 0, ""(153, 153, 153)"": ""324"", ""(220, 220, 0)"": 0, ""(250, 170, 30)"": ""0"", ""(0, 0, 0)"": ""988"", ""(70, 70, 70)"": ""5366"", ""(190, 153, 153)"": 0, ""(128, 64, 128)"": ""152150"", ""(0, 0, 70)"": 0, ""(0, 0, 142)"": ""13167"", ""(220, 20, 60)"": ""918"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""1499"", ""(81, 0, 81)"": 0, ""(119, 11, 32)"": ""2924""}","{""(70, 130, 180)"": 0.8925908894555691, ""(107, 142, 35)"": 0.7505192236370379, ""(153, 153, 153)"": 0.08953851810994669, ""(220, 220, 0)"": 0.004990806409246125, ""(250, 170, 30)"": 0.0, ""(0, 0, 0)"": 0.12892843619840968, ""(70, 70, 70)"": 0.000756696766382485, ""(190, 153, 153)"": 0.0, ""(128, 64, 128)"": 0.8219525898394451, ""(0, 0, 70)"": 0.0, ""(0, 0, 142)"": 0.0, ""(220, 20, 60)"": 0.0, ""(152, 251, 152)"": 0.0, ""(244, 35, 232)"": 0.0, ""(81, 0, 81)"": 0.0, ""(119, 11, 32)"": 0.0}",000014_10.png,cseg
"{""(70, 130, 180)"": ""61192"", ""(0, 0, 0)"": ""2322"", ""(107, 142, 35)"": ""29"", ""(153, 153, 153)"": ""29"", ""(70, 70, 70)"": ""3854"", ""(250, 170, 30)"": ""0"", ""(220, 220, 0)"": ""0"", ""(0, 60, 100)"": ""15966"", ""(0, 0, 70)"": 0, ""(0, 0, 142)"": ""10893"", ""(244, 35, 232)"": ""3421"", ""(220, 20, 60)"": ""0"", ""(152, 251, 152)"": 0, ""(128, 64, 128)"": ""170019"", ""(190, 153, 153)"": ""0"", ""(119, 11, 32)"": 0}","{""(70, 130, 180)"": 0.8489927298962207, ""(0, 0, 0)"": 0.01637215002697608, ""(107, 142, 35)"": 0.002583348137620655, ""(153, 153, 153)"": 0.07238826432684398, ""(70, 70, 70)"": 0.0, ""(250, 170, 30)"": 0.0336676217765043, ""(220, 220, 0)"": 0.00025002083506958916, ""(0, 60, 100)"": 0.0, ""(0, 0, 70)"": 0.09970958373668926, ""(0, 0, 142)"": 0.7040005170296646, ""(244, 35, 232)"": 0.1312639091397437, ""(220, 20, 60)"": 0.0, ""(152, 251, 152)"": 0.05941551677958872, ""(128, 64, 128)"": 0.0, ""(190, 153, 153)"": 0.0, ""(119, 11, 32)"": 0.0}",000015_10.png,cseg
"{""(70, 130, 180)"": ""66226"", ""(0, 0, 0)"": ""955"", ""(107, 142, 35)"": ""68402"", ""(153, 153, 153)"": ""282"", ""(70, 70, 70)"": ""669"", ""(250, 170, 30)"": 0, ""(220, 220, 0)"": ""6"", ""(0, 60, 100)"": ""16063"", ""(102, 102, 156)"": 0, ""(0, 0, 70)"": 0, ""(0, 0, 142)"": ""5852"", ""(152, 251, 152)"": 0, ""(220, 20, 60)"": ""1517"", ""(244, 35, 232)"": ""1790"", ""(128, 64, 128)"": ""175695"", ""(190, 153, 153)"": 0}","{""(70, 130, 180)"": 0.805982864375426, ""(0, 0, 0)"": 0.022840819725216264, ""(107, 142, 35)"": 0.0049651391811639245, ""(153, 153, 153)"": 0.02462317968906629, ""(70, 70, 70)"": 0.0, ""(250, 170, 30)"": 0.0, ""(220, 220, 0)"": 0.008056394763343404, ""(0, 60, 100)"": 0.0, ""(102, 102, 156)"": 0.0, ""(0, 0, 70)"": 0.0, ""(0, 0, 142)"": 0.0, ""(152, 251, 152)"": 0.0, ""(220, 20, 60)"": 0.0, ""(244, 35, 232)"": 0.0, ""(128, 64, 128)"": 0.0, ""(190, 153, 153)"": 0.0}",000016_10.png,cseg
"{""(70, 130, 180)"": ""62794"", ""(107, 142, 35)"": ""64796"", ""(153, 153, 153)"": ""2135"", ""(0, 0, 0)"": ""1371"", ""(70, 70, 70)"": ""1861"", ""(250, 170, 30)"": ""24"", ""(220, 220, 0)"": ""0"", ""(190, 153, 153)"": 0, ""(0, 60, 100)"": ""16510"", ""(0, 0, 142)"": ""21433"", ""(220, 20, 60)"": ""1631"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""2709"", ""(128, 64, 128)"": ""161083""}","{""(70, 130, 180)"": 0.8663511816889944, ""(107, 142, 35)"": 0.5265912489435017, ""(153, 153, 153)"": 0.05042079951908626, ""(0, 0, 0)"": 0.046086027250868286, ""(70, 70, 70)"": 0.0, ""(250, 170, 30)"": 0.03128555176336746, ""(220, 220, 0)"": 0.0, ""(190, 153, 153)"": 0.0, ""(0, 60, 100)"": 0.0, ""(0, 0, 142)"": 0.0034110655825628044, ""(220, 20, 60)"": 0.0, ""(152, 251, 152)"": 0.00020513872506282375, ""(244, 35, 232)"": 0.03916555322787281, ""(128, 64, 128)"": 0.0}",000017_10.png,cseg
"{""(70, 70, 70)"": ""583"", ""(153, 153, 153)"": ""138"", ""(70, 130, 180)"": ""45091"", ""(107, 142, 35)"": ""88961"", ""(0, 0, 0)"": ""56"", ""(220, 220, 0)"": ""566"", ""(190, 153, 153)"": ""34374"", ""(150, 100, 100)"": 0, ""(128, 64, 128)"": ""71477"", ""(0, 0, 70)"": 0, ""(0, 0, 142)"": ""42923"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""1014""}","{""(70, 70, 70)"": 0.21876992638107937, ""(153, 153, 153)"": 0.0025287416251727106, ""(70, 130, 180)"": 1.9496977968414897e-05, ""(107, 142, 35)"": 0.03193061193615895, ""(0, 0, 0)"": 0.00705371676614216, ""(220, 220, 0)"": 0.00027357984701414955, ""(190, 153, 153)"": 0.01812610869214643, ""(150, 100, 100)"": 0.0, ""(128, 64, 128)"": 0.0004757160424015582, ""(0, 0, 70)"": 0.0, ""(0, 0, 142)"": 0.0002879482579130396, ""(152, 251, 152)"": 0.14908829421131028, ""(244, 35, 232)"": 1.4122099673779497e-05}",000018_10.png,cseg
"{""(70, 70, 70)"": ""455"", ""(107, 142, 35)"": ""100951"", ""(70, 130, 180)"": ""41898"", ""(0, 0, 0)"": ""52"", ""(153, 153, 153)"": ""0"", ""(190, 153, 153)"": ""2488"", ""(150, 100, 100)"": 0, ""(102, 102, 156)"": ""42"", ""(0, 0, 142)"": ""20126"", ""(0, 0, 70)"": 0, ""(128, 64, 128)"": ""65744"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""0""}","{""(70, 70, 70)"": 0.00936040650908268, ""(107, 142, 35)"": 0.009192526153177442, ""(70, 130, 180)"": 0.0, ""(0, 0, 0)"": 0.002527663876874684, ""(153, 153, 153)"": 0.0, ""(190, 153, 153)"": 2.6215240229907658e-05, ""(150, 100, 100)"": 0.0020910808274026637, ""(102, 102, 156)"": 0.031704095112285335, ""(0, 0, 142)"": 0.0009497023048544398, ""(0, 0, 70)"": 0.0, ""(128, 64, 128)"": 0.0, ""(152, 251, 152)"": 0.02910916396200914, ""(244, 35, 232)"": 0.0}",000019_10.png,cseg
"{""(107, 142, 35)"": ""90123"", ""(70, 130, 180)"": ""39415"", ""(0, 0, 0)"": ""1"", ""(153, 153, 153)"": ""830"", ""(70, 70, 70)"": ""0"", ""(190, 153, 153)"": ""15"", ""(150, 100, 100)"": 0, ""(220, 220, 0)"": ""0"", ""(0, 0, 142)"": ""55943"", ""(220, 20, 60)"": ""0"", ""(128, 64, 128)"": ""51975"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""265""}","{""(107, 142, 35)"": 0.2962760006393132, ""(70, 130, 180)"": 0.004862310279014814, ""(0, 0, 0)"": 0.0016342121325483865, ""(153, 153, 153)"": 5.423287596941266e-05, ""(70, 70, 70)"": 0.0, ""(190, 153, 153)"": 0.709371936338416, ""(150, 100, 100)"": 0.0, ""(220, 220, 0)"": 0.18493150684931506, ""(0, 0, 142)"": 0.9620464316423044, ""(220, 20, 60)"": 0.0, ""(128, 64, 128)"": 0.023600461703355596, ""(152, 251, 152)"": 0.05315125093041272, ""(244, 35, 232)"": 0.0}",000020_10.png,cseg
"{""(107, 142, 35)"": ""0"", ""(70, 130, 180)"": ""337"", ""(153, 153, 153)"": ""1234"", ""(0, 0, 0)"": ""4937"", ""(150, 100, 100)"": 0, ""(70, 70, 70)"": ""4469"", ""(190, 153, 153)"": ""21555"", ""(0, 0, 142)"": ""8151"", ""(152, 251, 152)"": 0, ""(128, 64, 128)"": ""79881""}","{""(107, 142, 35)"": 0.44299528569805746, ""(70, 130, 180)"": 0.01254889946740821, ""(153, 153, 153)"": 0.0, ""(0, 0, 0)"": 0.0030388031790556337, ""(150, 100, 100)"": 0.0, ""(70, 70, 70)"": 0.026435826220933767, ""(190, 153, 153)"": 0.05142935976901625, ""(0, 0, 142)"": 8.982304859426928e-05, ""(152, 251, 152)"": 0.002550165221972128, ""(128, 64, 128)"": 0.00874976123657415}",000021_10.png,cseg
"{""(107, 142, 35)"": ""46643"", ""(70, 130, 180)"": ""17608"", ""(0, 0, 0)"": ""0"", ""(250, 170, 30)"": ""28"", ""(153, 153, 153)"": ""7407"", ""(220, 220, 0)"": 0, ""(0, 0, 142)"": ""28570"", ""(102, 102, 156)"": 0, ""(190, 153, 153)"": ""1037"", ""(152, 251, 152)"": 0, ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""156571"", ""(244, 35, 232)"": ""0""}","{""(107, 142, 35)"": 0.21939395089370423, ""(70, 130, 180)"": 0.0, ""(0, 0, 0)"": 0.0, ""(250, 170, 30)"": 0.0, ""(153, 153, 153)"": 0.6405223106191629, ""(220, 220, 0)"": 0.001059135039717564, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.0009422357159682781, ""(190, 153, 153)"": 0.14702963278037715, ""(152, 251, 152)"": 0.20332465918359421, ""(230, 150, 140)"": 0.01704916986969905, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0}",000022_10.png,cseg
"{""(107, 142, 35)"": ""106820"", ""(70, 130, 180)"": ""28834"", ""(0, 0, 0)"": ""243"", ""(153, 153, 153)"": ""4412"", ""(220, 220, 0)"": 0, ""(250, 170, 30)"": 0, ""(0, 0, 142)"": ""27829"", ""(102, 102, 156)"": ""0"", ""(190, 153, 153)"": ""1048"", ""(152, 251, 152)"": 0, ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""114466"", ""(244, 35, 232)"": ""0""}","{""(107, 142, 35)"": 0.5858800816129528, ""(70, 130, 180)"": 0.08259973323632837, ""(0, 0, 0)"": 0.08216778713649125, ""(153, 153, 153)"": 0.01309220350231527, ""(220, 220, 0)"": 0.0, ""(250, 170, 30)"": 0.0, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.06934777004382572, ""(190, 153, 153)"": 0.0017849553761155972, ""(152, 251, 152)"": 0.001993554174834701, ""(230, 150, 140)"": 0.2023639698390055, ""(128, 64, 128)"": 0.6733016875775704, ""(244, 35, 232)"": 0.0}",000023_10.png,cseg
"{""(107, 142, 35)"": ""100688"", ""(70, 130, 180)"": ""48854"", ""(0, 0, 0)"": ""941"", ""(153, 153, 153)"": ""3519"", ""(220, 220, 0)"": ""131"", ""(70, 70, 70)"": ""256"", ""(102, 102, 156)"": ""564"", ""(0, 0, 142)"": ""27758"", ""(152, 251, 152)"": 0, ""(128, 64, 128)"": ""101049"", ""(244, 35, 232)"": ""469"", ""(190, 153, 153)"": ""2039"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.5911626213877245, ""(70, 130, 180)"": 0.030787946082313465, ""(0, 0, 0)"": 0.09104501351996183, ""(153, 153, 153)"": 0.014455213903743316, ""(220, 220, 0)"": 0.01798343099616084, ""(70, 70, 70)"": 0.0815806246016571, ""(102, 102, 156)"": 0.009154383242823895, ""(0, 0, 142)"": 0.0, ""(152, 251, 152)"": 0.0, ""(128, 64, 128)"": 0.022657063672792105, ""(244, 35, 232)"": 1.547604308530395e-05, ""(190, 153, 153)"": 0.013749272525263213, ""(230, 150, 140)"": 0.16909620991253643}",000024_10.png,cseg
"{""(107, 142, 35)"": ""123008"", ""(70, 130, 180)"": ""33926"", ""(70, 70, 70)"": ""7356"", ""(220, 220, 0)"": ""3363"", ""(0, 0, 0)"": ""275"", ""(153, 153, 153)"": ""12313"", ""(190, 153, 153)"": ""176"", ""(0, 80, 100)"": 0, ""(0, 0, 142)"": ""14094"", ""(102, 102, 156)"": ""1102"", ""(152, 251, 152)"": 0, ""(128, 64, 128)"": ""70200"", ""(244, 35, 232)"": ""46647"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.014426018847142332, ""(70, 130, 180)"": 0.04526483215537139, ""(70, 70, 70)"": 0.32292901356512577, ""(220, 220, 0)"": 0.0014772851353000494, ""(0, 0, 0)"": 0.03253700718159167, ""(153, 153, 153)"": 0.6096148133478563, ""(190, 153, 153)"": 0.0013822509605472776, ""(0, 80, 100)"": 0.0, ""(0, 0, 142)"": 0.006405289529417842, ""(102, 102, 156)"": 0.004799067097237173, ""(152, 251, 152)"": 0.19236963962150191, ""(128, 64, 128)"": 0.00010330934260821653, ""(244, 35, 232)"": 0.0, ""(230, 150, 140)"": 0.0}",000025_10.png,cseg
"{""(107, 142, 35)"": 0, ""(70, 130, 180)"": ""40273"", ""(70, 70, 70)"": ""20121"", ""(153, 153, 153)"": ""1461"", ""(0, 0, 0)"": ""1"", ""(220, 220, 0)"": ""2850"", ""(0, 80, 100)"": 0, ""(102, 102, 156)"": ""2768"", ""(0, 0, 142)"": ""10978"", ""(190, 153, 153)"": ""4"", ""(152, 251, 152)"": 0, ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""96421"", ""(244, 35, 232)"": ""12772""}","{""(107, 142, 35)"": 0.6453210085571776, ""(70, 130, 180)"": 0.00037629350893697084, ""(70, 70, 70)"": 0.43104113110539843, ""(153, 153, 153)"": 0.04955653147334883, ""(0, 0, 0)"": 0.0369257191927866, ""(220, 220, 0)"": 0.005146112846903143, ""(0, 80, 100)"": 0.0, ""(102, 102, 156)"": 0.006901487654005419, ""(0, 0, 142)"": 0.0, ""(190, 153, 153)"": 0.017930238568946967, ""(152, 251, 152)"": 0.05091702772257875, ""(230, 150, 140)"": 0.0, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0}",000026_10.png,cseg
"{""(107, 142, 35)"": ""34873"", ""(70, 130, 180)"": ""59208"", ""(153, 153, 153)"": ""1248"", ""(70, 70, 70)"": ""9975"", ""(0, 0, 0)"": ""133"", ""(250, 170, 30)"": 0, ""(0, 0, 142)"": ""10128"", ""(128, 64, 128)"": ""87851"", ""(244, 35, 232)"": ""63"", ""(190, 153, 153)"": ""129"", ""(152, 251, 152)"": 0, ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.558852381203523, ""(70, 130, 180)"": 0.9498812808830135, ""(153, 153, 153)"": 0.3572860005725737, ""(70, 70, 70)"": 0.008255633255633256, ""(0, 0, 0)"": 0.06092819324950364, ""(250, 170, 30)"": 0.004533091568449683, ""(0, 0, 142)"": 0.0, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0, ""(190, 153, 153)"": 0.0, ""(152, 251, 152)"": 0.16096228747588334, ""(230, 150, 140)"": 0.00043010752688172043}",000027_10.png,cseg
"{""(107, 142, 35)"": ""175672"", ""(70, 130, 180)"": ""64459"", ""(153, 153, 153)"": ""1909"", ""(0, 0, 0)"": ""491"", ""(70, 70, 70)"": ""1128"", ""(220, 220, 0)"": ""0"", ""(0, 0, 142)"": ""19721"", ""(250, 170, 30)"": 0, ""(128, 64, 128)"": ""65910"", ""(220, 20, 60)"": ""35"", ""(190, 153, 153)"": ""0"", ""(244, 35, 232)"": ""1830"", ""(81, 0, 81)"": 0, ""(152, 251, 152)"": 0, ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.011179884691772238, ""(70, 130, 180)"": 2.8607742889954186e-05, ""(153, 153, 153)"": 0.005607371824825704, ""(0, 0, 0)"": 0.015472586612848975, ""(70, 70, 70)"": 0.0, ""(220, 220, 0)"": 0.0, ""(0, 0, 142)"": 0.0002807017543859649, ""(250, 170, 30)"": 0.0, ""(128, 64, 128)"": 0.00016092323961470377, ""(220, 20, 60)"": 0.001256281407035176, ""(190, 153, 153)"": 0.04784123230321818, ""(244, 35, 232)"": 0.2561769052820974, ""(81, 0, 81)"": 0.0, ""(152, 251, 152)"": 0.0, ""(230, 150, 140)"": 0.0}",000028_10.png,cseg
"{""(70, 130, 180)"": ""62579"", ""(107, 142, 35)"": ""74226"", ""(153, 153, 153)"": ""573"", ""(0, 0, 0)"": ""594"", ""(220, 220, 0)"": 0, ""(70, 70, 70)"": ""1256"", ""(0, 0, 142)"": ""9721"", ""(244, 35, 232)"": ""217"", ""(128, 64, 128)"": ""88005"", ""(190, 153, 153)"": ""529"", ""(152, 251, 152)"": 0, ""(81, 0, 81)"": 0, ""(230, 150, 140)"": 0}","{""(70, 130, 180)"": 0.9374007609574883, ""(107, 142, 35)"": 0.4347711581263007, ""(153, 153, 153)"": 0.009999135877146419, ""(0, 0, 0)"": 0.14733633328494702, ""(220, 220, 0)"": 0.0, ""(70, 70, 70)"": 0.2838418079096045, ""(0, 0, 142)"": 0.6962469560234923, ""(244, 35, 232)"": 0.0004687044754943565, ""(128, 64, 128)"": 0.009628943233552234, ""(190, 153, 153)"": 0.00880832256181462, ""(152, 251, 152)"": 0.006685840212154036, ""(81, 0, 81)"": 0.0, ""(230, 150, 140)"": 0.0}",000029_10.png,cseg
"{""(70, 130, 180)"": ""62012"", ""(107, 142, 35)"": ""51536"", ""(153, 153, 153)"": ""1376"", ""(70, 70, 70)"": ""6943"", ""(0, 0, 0)"": ""312"", ""(220, 220, 0)"": 0, ""(220, 20, 60)"": ""170"", ""(0, 0, 142)"": ""3039"", ""(128, 64, 128)"": ""79553"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""480"", ""(81, 0, 81)"": 0, ""(190, 153, 153)"": ""0"", ""(230, 150, 140)"": 0}","{""(70, 130, 180)"": 0.949633236857016, ""(107, 142, 35)"": 0.44228912716085933, ""(153, 153, 153)"": 0.004636758421425976, ""(70, 70, 70)"": 0.00016933981662916998, ""(0, 0, 0)"": 0.2804894629503739, ""(220, 220, 0)"": 0.0, ""(220, 20, 60)"": 0.0, ""(0, 0, 142)"": 0.5512425176854707, ""(128, 64, 128)"": 0.0, ""(152, 251, 152)"": 0.00011186933661483388, ""(244, 35, 232)"": 0.010377705229931032, ""(81, 0, 81)"": 0.012600171043045833, ""(190, 153, 153)"": 0.0, ""(230, 150, 140)"": 0.0}",000030_10.png,cseg
"{""(70, 130, 180)"": ""60931"", ""(107, 142, 35)"": ""85006"", ""(0, 0, 0)"": ""319"", ""(153, 153, 153)"": ""1625"", ""(70, 70, 70)"": ""5297"", ""(250, 170, 30)"": ""0"", ""(220, 220, 0)"": ""0"", ""(152, 251, 152)"": 0, ""(220, 20, 60)"": ""16"", ""(0, 60, 100)"": 0, ""(0, 0, 142)"": ""10095"", ""(128, 64, 128)"": ""76045"", ""(244, 35, 232)"": ""3086"", ""(0, 0, 70)"": 0, ""(230, 150, 140)"": 0, ""(190, 153, 153)"": ""0""}","{""(70, 130, 180)"": 0.8862304190362602, ""(107, 142, 35)"": 0.05947032676998423, ""(0, 0, 0)"": 0.00487223741084111, ""(153, 153, 153)"": 0.00017237664296487827, ""(70, 70, 70)"": 0.22228283676038607, ""(250, 170, 30)"": 0.0, ""(220, 220, 0)"": 0.0, ""(152, 251, 152)"": 0.022154189539723715, ""(220, 20, 60)"": 0.0, ""(0, 60, 100)"": 0.0, ""(0, 0, 142)"": 0.0011546401371572527, ""(128, 64, 128)"": 0.000365455622345721, ""(244, 35, 232)"": 0.06225790832795352, ""(0, 0, 70)"": 0.0, ""(230, 150, 140)"": 0.0, ""(190, 153, 153)"": 0.0}",000032_10.png,cseg
"{""(107, 142, 35)"": ""29115"", ""(70, 130, 180)"": ""30768"", ""(128, 64, 128)"": ""94043"", ""(153, 153, 153)"": ""456"", ""(0, 0, 0)"": ""456"", ""(70, 70, 70)"": ""917"", ""(250, 170, 30)"": 0, ""(152, 251, 152)"": 0, ""(220, 220, 0)"": 0, ""(220, 20, 60)"": ""1870"", ""(0, 0, 142)"": ""9837"", ""(0, 60, 100)"": 0, ""(244, 35, 232)"": ""2331"", ""(230, 150, 140)"": 0, ""(190, 153, 153)"": ""17"", ""(81, 0, 81)"": 0}","{""(107, 142, 35)"": 0.6071216403535618, ""(70, 130, 180)"": 0.5751565566875408, ""(128, 64, 128)"": 0.0027988055491278527, ""(153, 153, 153)"": 0.04176206612327136, ""(0, 0, 0)"": 0.002214084986800647, ""(70, 70, 70)"": 0.024237685691946835, ""(250, 170, 30)"": 0.0, ""(152, 251, 152)"": 0.06856723403454398, ""(220, 220, 0)"": 0.0, ""(220, 20, 60)"": 0.0, ""(0, 0, 142)"": 0.0, ""(0, 60, 100)"": 0.0, ""(244, 35, 232)"": 0.0, ""(230, 150, 140)"": 0.0, ""(190, 153, 153)"": 0.0, ""(81, 0, 81)"": 0.0}",000033_10.png,cseg
