GTP_Pixel Values,IOU Values,Filenames,type
"{""(107, 142, 35)"": ""91453"", ""(70, 130, 180)"": ""11983"", ""(0, 0, 0)"": ""0"", ""(250, 170, 30)"": ""617"", ""(153, 153, 153)"": ""3855"", ""(220, 220, 0)"": 0, ""(0, 0, 142)"": ""21737"", ""(102, 102, 156)"": 0, ""(190, 153, 153)"": ""1911"", ""(152, 251, 152)"": ""1099"", ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""161256"", ""(244, 35, 232)"": ""0""}","{""(107, 142, 35)"": 0.13100206673756445, ""(70, 130, 180)"": 2.7452918245209467e-05, ""(0, 0, 0)"": 0.06360946745562131, ""(250, 170, 30)"": 0.05278085921742638, ""(153, 153, 153)"": 0.07506838212947016, ""(220, 220, 0)"": 0.0, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.0012438625204582651, ""(190, 153, 153)"": 0.0011268028846153845, ""(152, 251, 152)"": 0.0, ""(230, 150, 140)"": 0.0898482336436679, ""(128, 64, 128)"": 0.8005719221947514, ""(244, 35, 232)"": 0.0}",000022_10.png,ovseg
"{""(107, 142, 35)"": ""91755"", ""(70, 130, 180)"": ""36546"", ""(0, 0, 0)"": ""250"", ""(153, 153, 153)"": ""5071"", ""(220, 220, 0)"": ""1278"", ""(250, 170, 30)"": ""2585"", ""(0, 0, 142)"": ""20030"", ""(102, 102, 156)"": ""0"", ""(190, 153, 153)"": ""5748"", ""(152, 251, 152)"": ""0"", ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""119563"", ""(244, 35, 232)"": ""0""}","{""(107, 142, 35)"": 0.5039351483163717, ""(70, 130, 180)"": 0.7006384080059814, ""(0, 0, 0)"": 0.006345543697721373, ""(153, 153, 153)"": 0.0, ""(220, 220, 0)"": 0.0, ""(250, 170, 30)"": 0.04955527318932656, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.0, ""(190, 153, 153)"": 0.0, ""(152, 251, 152)"": 0.0011532969648152893, ""(230, 150, 140)"": 0.0, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0}",000023_10.png,ovseg
"{""(107, 142, 35)"": ""111396"", ""(70, 130, 180)"": ""53082"", ""(0, 0, 0)"": ""629"", ""(153, 153, 153)"": ""496"", ""(220, 220, 0)"": ""104"", ""(70, 70, 70)"": 0, ""(102, 102, 156)"": ""2183"", ""(0, 0, 142)"": ""29074"", ""(152, 251, 152)"": ""0"", ""(128, 64, 128)"": ""98333"", ""(244, 35, 232)"": ""813"", ""(190, 153, 153)"": ""7847"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.644514774035652, ""(70, 130, 180)"": 9.459395544624699e-05, ""(0, 0, 0)"": 0.09503814021067926, ""(153, 153, 153)"": 0.0033600413543551306, ""(220, 220, 0)"": 3.1192488848685235e-05, ""(70, 70, 70)"": 0.0, ""(102, 102, 156)"": 0.0, ""(0, 0, 142)"": 0.0, ""(152, 251, 152)"": 0.0, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0, ""(190, 153, 153)"": 0.0, ""(230, 150, 140)"": 0.00048040994982384967}",000024_10.png,ovseg
"{""(107, 142, 35)"": ""111411"", ""(70, 130, 180)"": ""37730"", ""(70, 70, 70)"": ""7003"", ""(220, 220, 0)"": ""2651"", ""(0, 0, 0)"": ""364"", ""(153, 153, 153)"": ""30"", ""(190, 153, 153)"": ""39512"", ""(0, 80, 100)"": ""0"", ""(0, 0, 142)"": ""5608"", ""(102, 102, 156)"": 0, ""(152, 251, 152)"": ""0"", ""(128, 64, 128)"": ""84372"", ""(244, 35, 232)"": ""41604"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.0610601962526446, ""(70, 130, 180)"": 0.0, ""(70, 70, 70)"": 0.008719635700228406, ""(220, 220, 0)"": 0.0, ""(0, 0, 0)"": 0.0, ""(153, 153, 153)"": 0.026243784753890966, ""(190, 153, 153)"": 0.0, ""(0, 80, 100)"": 0.019783100941484923, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.0, ""(152, 251, 152)"": 0.023446350874312454, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0010755760213770735, ""(230, 150, 140)"": 0.0}",000025_10.png,ovseg
"{""(107, 142, 35)"": ""74613"", ""(70, 130, 180)"": ""40686"", ""(70, 70, 70)"": ""19525"", ""(153, 153, 153)"": ""2040"", ""(0, 0, 0)"": ""263"", ""(220, 220, 0)"": ""3493"", ""(0, 80, 100)"": ""0"", ""(102, 102, 156)"": ""275"", ""(0, 0, 142)"": ""8663"", ""(190, 153, 153)"": ""1842"", ""(152, 251, 152)"": 0, ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""95106"", ""(244, 35, 232)"": ""13755""}","{""(107, 142, 35)"": 0.40688448589337084, ""(70, 130, 180)"": 0.0003269295294795798, ""(70, 70, 70)"": 0.0017498618530116044, ""(153, 153, 153)"": 0.04266803365196152, ""(0, 0, 0)"": 0.0, ""(220, 220, 0)"": 0.617683465959328, ""(0, 80, 100)"": 0.0, ""(102, 102, 156)"": 0.05049577671685641, ""(0, 0, 142)"": 0.0, ""(190, 153, 153)"": 0.10027463754231335, ""(152, 251, 152)"": 0.0493294876750617, ""(230, 150, 140)"": 0.004827093810144657, ""(128, 64, 128)"": 0.0023625008174743313, ""(244, 35, 232)"": 0.18938455183808345}",000026_10.png,ovseg
"{""(107, 142, 35)"": ""150864"", ""(70, 130, 180)"": ""58661"", ""(153, 153, 153)"": ""1"", ""(70, 70, 70)"": ""2378"", ""(0, 0, 0)"": ""0"", ""(250, 170, 30)"": 0, ""(0, 0, 142)"": ""11195"", ""(128, 64, 128)"": ""78053"", ""(244, 35, 232)"": ""0"", ""(190, 153, 153)"": ""64"", ""(152, 251, 152)"": ""1528"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.777220811202069, ""(70, 130, 180)"": 0.9446063670472296, ""(153, 153, 153)"": 0.000390015600624025, ""(70, 70, 70)"": 0.0, ""(0, 0, 0)"": 0.0, ""(250, 170, 30)"": 0.0, ""(0, 0, 142)"": 0.0, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0, ""(190, 153, 153)"": 0.0, ""(152, 251, 152)"": 0.005242518925493321, ""(230, 150, 140)"": 0.0007925407925407925}",000027_10.png,ovseg
"{""(107, 142, 35)"": ""126770"", ""(70, 130, 180)"": ""64418"", ""(153, 153, 153)"": ""2666"", ""(0, 0, 0)"": ""736"", ""(70, 70, 70)"": ""459"", ""(220, 220, 0)"": ""23"", ""(0, 0, 142)"": ""92"", ""(250, 170, 30)"": ""0"", ""(128, 64, 128)"": ""84524"", ""(220, 20, 60)"": 0, ""(190, 153, 153)"": ""20"", ""(244, 35, 232)"": ""0"", ""(81, 0, 81)"": 0, ""(152, 251, 152)"": ""442"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.6433980267164725, ""(70, 130, 180)"": 0.0, ""(153, 153, 153)"": 0.007028112449799197, ""(0, 0, 0)"": 0.036598707110890104, ""(70, 70, 70)"": 8.540925266903914e-05, ""(220, 220, 0)"": 0.0, ""(0, 0, 142)"": 0.0, ""(250, 170, 30)"": 0.0, ""(128, 64, 128)"": 0.0006213285133303208, ""(220, 20, 60)"": 0.0, ""(190, 153, 153)"": 0.0, ""(244, 35, 232)"": 0.0, ""(81, 0, 81)"": 0.0, ""(152, 251, 152)"": 0.014294620591378697, ""(230, 150, 140)"": 0.0031627720642886134}",000028_10.png,ovseg
"{""(70, 130, 180)"": ""61480"", ""(107, 142, 35)"": ""0"", ""(153, 153, 153)"": ""489"", ""(0, 0, 0)"": ""423"", ""(220, 220, 0)"": ""819"", ""(70, 70, 70)"": ""445"", ""(0, 0, 142)"": ""9452"", ""(244, 35, 232)"": ""0"", ""(128, 64, 128)"": ""86427"", ""(190, 153, 153)"": ""223"", ""(152, 251, 152)"": ""0"", ""(81, 0, 81)"": 0, ""(230, 150, 140)"": 0}","{""(70, 130, 180)"": 0.9494100932732102, ""(107, 142, 35)"": 0.8671165583287848, ""(153, 153, 153)"": 0.124112417208664, ""(0, 0, 0)"": 0.12163077339834756, ""(220, 220, 0)"": 0.010378827192527244, ""(70, 70, 70)"": 0.05178679588128407, ""(0, 0, 142)"": 0.018254497001998667, ""(244, 35, 232)"": 0.0001945878629063643, ""(128, 64, 128)"": 0.5332004861466707, ""(190, 153, 153)"": 0.009651307596513076, ""(152, 251, 152)"": 0.11104852035451404, ""(81, 0, 81)"": 0.0, ""(230, 150, 140)"": 0.0}",000029_10.png,ovseg
"{""(70, 130, 180)"": ""61366"", ""(107, 142, 35)"": ""97455"", ""(153, 153, 153)"": ""781"", ""(70, 70, 70)"": ""5852"", ""(0, 0, 0)"": ""1168"", ""(220, 220, 0)"": ""0"", ""(220, 20, 60)"": 0, ""(0, 0, 142)"": ""3693"", ""(128, 64, 128)"": ""88865"", ""(152, 251, 152)"": ""0"", ""(244, 35, 232)"": ""0"", ""(81, 0, 81)"": 0, ""(190, 153, 153)"": ""38"", ""(230, 150, 140)"": 0}","{""(70, 130, 180)"": 0.963889107044687, ""(107, 142, 35)"": 0.41569208806896174, ""(153, 153, 153)"": 0.0073251984907978995, ""(70, 70, 70)"": 0.0, ""(0, 0, 0)"": 0.014553392759687101, ""(220, 220, 0)"": 0.0, ""(220, 20, 60)"": 0.0, ""(0, 0, 142)"": 0.001996805111821086, ""(128, 64, 128)"": 0.0, ""(152, 251, 152)"": 9.859340081503878e-05, ""(244, 35, 232)"": 0.0, ""(81, 0, 81)"": 0.0, ""(190, 153, 153)"": 0.0012684001468673855, ""(230, 150, 140)"": 0.005968252213917633}",000030_10.png,ovseg
"{""(70, 130, 180)"": ""61133"", ""(107, 142, 35)"": ""48623"", ""(0, 0, 0)"": ""109"", ""(153, 153, 153)"": ""723"", ""(70, 70, 70)"": ""8209"", ""(250, 170, 30)"": ""0"", ""(220, 220, 0)"": ""0"", ""(152, 251, 152)"": ""647"", ""(220, 20, 60)"": ""238"", ""(0, 60, 100)"": ""0"", ""(0, 0, 142)"": ""10190"", ""(128, 64, 128)"": ""78089"", ""(244, 35, 232)"": ""3165"", ""(0, 0, 70)"": 0, ""(230, 150, 140)"": 0, ""(190, 153, 153)"": ""70""}","{""(70, 130, 180)"": 0.8634604519774012, ""(107, 142, 35)"": 0.23117701875166408, ""(0, 0, 0)"": 0.0006473299125807678, ""(153, 153, 153)"": 0.0, ""(70, 70, 70)"": 0.0608262947685458, ""(250, 170, 30)"": 0.015955601803676726, ""(220, 220, 0)"": 0.0, ""(152, 251, 152)"": 0.0, ""(220, 20, 60)"": 0.0, ""(0, 60, 100)"": 0.0, ""(0, 0, 142)"": 0.0015500519570488397, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0, ""(0, 0, 70)"": 0.0, ""(230, 150, 140)"": 0.36928251121076233, ""(190, 153, 153)"": 0.00039995556049327854}",000032_10.png,ovseg
